durbi garee hundishee durbummaa qabduu dhiira qeequu barbaaddim,1
durbif gaararraan waanuma argitetti bifasheef amalashee jijjiirratti,1
durbummaa namni qabu hundi gagamaa addunyaan maal taate hin galleef muudii hin qaban,1
durbi safuu beektu kooti,0
durbummaa mataan haxxifannaan hiikatu jibbisiisam,1
durba haadha,0
durbi muuzii argitu maalif saree raqa arge fakkaattii,1
dhiira abbaadha,0
durbaaf baaqelli jalaa bilchaatti,1
dhiirri furdaan tiraasif firaashif hin taatu,1
shamarran baayyeen bifa qabu qalbii hin qaban didaa liqimsaa haqa jiruudha,1
wal hamachuu dhiifnee wal hammannee maal fakkaata,0
durbi durbummaa gattee harreen cabde gatii hin qabdu,1
durbi sabboontun,0
dubartiin afaan dheerattu haasawaaf dhungoof hin taatu,1
shamarranuma kudha saddeetii olii arguullee baadhee,1
waaqayyo beeket dubartoota fokkuu baay'ise qorumsarraa oolche,0
durbaa qarshii maaltu jibba,0
shamarran fufurdoon durbummaa qaban hin fakkaatu,1
durbi jaarraa doobbiin gogaan tokko,1
dhiira qalloo durbi furdaan dhaabbatan tuubboo roottoo fakkaatum,1
dubbarri mudhii furdattu kaartaa afrikaa fakkaatti,1
shamarran durbummaa qabdu hin sammuu qabdu kooti,0
dubartiin durbummaa hin qabne xibaaraammidha,1
dhiirri mataa firiizii namati tola,0
shamarreen asirraa xibaartu hundishee walitti ida'amtee saaliyaa saamii hin geessu,1
ijoolleen dhiiraa durbummaa balleessitan garbummaas biyya keessaa balleessa,0
dubarri dheertuun booroo qabdu gaala fakkaatti,1
dubartiin furdoo guddoo hin qabdu jedhame,1
dhiirri gabaabaan kuukkii qabu roottoo fakkaata,1
durbi sagalee furdaa korbeessa re'ee fakkaatti,1
dhiirri kuukkii guddaa qabdu hojii hin dandeessu,1
dhugaa dubbachuuf shamarran garee hundi isheeyyuu warqeedha,0
durba haasaa hin beekne namatti hin toltu,1
durba haadha durba haadha manaadha durba obboleettidha,0
dhiironni maalif ijaan argaa dabbaranii laata,1
dhiira arrabsitan abbaa arrabsitan durba arrabsitan haadha arrabsitan yaadadhaa,0
shamarran qoosaa jaallattu carraa onnee dhiiraa cabsitee seenuu bal'aa qabdi,0
shamarran dhiira bajaajii qarshii makiinaa minaaminii qabu hin dhiira onnee qulqulluu qabu jaallanna,0
dubarri gabaabduun mudhii bal'attu roottoo fakkaatti,1
dhugaa dubbachuuf durba magaalaa gurraattii namatti tolu hin jiruum,0
isuma warri 'durbummaa' hin qabnellee didantu aarsa maalif,1
shamarranii joottoonin qarshii hin dubbisan,1
durbi ittoo lukkuu hojjechuu hin beekne bultiif hin taatu,1
durbi furdoo gabaabduun mooyyee soqaa bade fakkaattim,1
dubaraa gingilchaa kabalan hin toltu,1
durba garmalee furdattu fuute halkan bultu hin qabdu iddootu ga'u,1
dhiironni areeda hin qabne obboleetti jenne muufachiisaa,1
warri dhiiraa dubara bareedina qabdu hin dubara amala gaarii qabdu jaallanna,0
dhiiraa sareen bakkuma hoo'e bulti,1
durbi qal'oon furdachuu barbaadde callisiima muuzii nyaadhu warri dhiiraammoo gurshuun gargaaraa,0
durbi bareedduun garee hin jirtuum,1
dhiira sooressatti heerumuun abjuu shamarran dadhabooti,0
dhiironni oromoo durba afaan oromoo barreessuf dubbisuu hin dandeenye hin fuunu,1
dhiirri magaala dheeraa taatee areeda qabduu gateettin bal'aa ta'e dhaga'i abbaa manaa kooti,0
amaloota dhiiraa keessaa guddaan kijiba,1
dubartiin qal'oon lakkoofsa 1 fakkaatti,1
durbuma rifeensi gabaabduu jibbisiisan,1
dhiira bara haasaa keessaa sobi hin dhabamu,1
dhiiruma diimaa jibbisiisa,1
durba gabaabduu durbummaa qabdu dubartii dheertuu wayya,1
dhiirri areeda hin qabne bajaajii fireenii hin qabne fakkaata,1
durba qalloo fuudhuun ardii antaartikaatti galuudha,1
durbi dheertuun qamisii urgufaa deemtu nama arrabsaa jirtu fakkaatti,1
dhiira gabaabduu mannaa heeruma hafuu wayya,1
kubbaan qilleensa hin qabnee shamarreen durbummaa hin qabne tokkuma,1
dhiironni dubartii qalloo hin fuudhinaa hojiif hin mijattuu,1
shamarran hamii jaallattu bultiif hin taatu,1
shamara kuukkii qabdu hin fuudhinaa raacha fantee liqimsitee ciistu fakkaatti,1
dubaruma harma guddattu yeroon argu aannan mana isaanitii kireeffamu fakkaata,1
shamarreen qalloo saandallii fakkaatti,1
dhiirri shamarranii odeessu bultiif hin,1
dubartoonni garee jirtu hundi daakudhaam,1
durbi furdoo gabaabduun finyaa afuuffamaa fakkaatti,1
durbuma adda guddattu jibbisiisam,1
durbi durbummaa hin qabne xaafii meesa tolee wajjiin wal fakkatuu,1
dhiirri furdaan qumbursa biyyee keessaa fakkaata,1
durba durbummaa hin qabnee waxii buqqee rakkataatu nyaata,1
dhalaa qalloon saandallii fakkaatti,1
dhiirri furdaa gabaabaa hojii hin danda'u amanaa shamarran,1
ijoolleen durbaa durbummaa hin qabne guyyaa qaama miidhamtootaa yaadadhaatii kabajaa,1
durbi warqeedha morma keetti hidhadhu,0
jaalladhus jibbus dhiirri warqiidha,0
shamarran fufurdoon dhuufuu hin qabatan,1
durboonni qaqalloon tokko tokko mutaa ittiin qaraxiixii hodhan fakkaattim jarana,1
shamarreen booroo hin qabne qaamni hir'uu fakkaattim,1
durbi bara muudiis mudhiis hin qabdu,1
gaa'elli gaariidha dubartii gabaabduu wajjiin hin ta'in,1
shamarri gabaabduun mooyyee bunaa fakkaatti,1
durba durbummaa hin qabne harmee jedheen waama hin qabaminaa,1
durboonni durbummaa hin qabne kiraanchiidhan deemaa,1
durbaa farda abbuma jirutu yaaba,1
shamarran barsiisuun addunyaa daraan jijjiira qeequrra barsiisuun furmaata waaraa fida,0
dhiira qalloof asheeta boqqoolloo hundatu kajeela,0
dhiirri bareedu tokko garee hin jiru jinjibila duwwaa,1
qeensa miilaa gufuu fakkaatu baannee qeensa durbaa ilaaluu baannee maal fakkaata dhiironni,1
dubara rifeensi mataa eegee reettii hin geenyetu dhiira qeeqam,1
shamarree dhadhaa mataatti dibattee qilleensa faalaa deemtu jibbisiisam,1
durba harma xinnoo qabdu yeroon argu cufa,1
durba furdoo fuute obsa kennu hojiin harkaa hin dhumu mana dubulbul oolti,1
dhiirri qarshii hin qabne bultiif hin,1
shamarree durbummaa qabdu fuuldurri gaa'ela,0
durba durbummaa hin qabne fuute nama uffata miiccu koontiraata fudhatte jechuudha,1
shamarran bara hedduun ayyaan laallattuudha,1
shamarran wiigii godhatan garaatu jibbaam gaafan argu rifeensa dheeraa qabaatanii hin rakkatan,1
durbummaan durba keessaa bade garbummaan biyya keessaa badee,1
shamarruma surree tokko uffattutu xibaartim,1
shamarran dhiira kabajuu qabdu warri dhiiras godhaa,0
durbi gabaabduun kuukkii qabdu tullaa teessu fakkaatti,1
dhalaa gabbattuu funyaan hin qabne bashoo fakkaatti,1
durbi dheertuun kuukkii qabdu kalaadaa booyyee fakkaatti,1
durbi gabaabduun kuukkii qabdu bajaajii nama feetee deemtu fakkaatti,1
shamarran gabaabduun gaafa dhuftu awwaara kaasti,1
durbi oromoo hundi warqiidha,0
shamarran baalee safuu qabu,0
shamarran siikoomandoo hunduu saba jaalatu aadaa guddisu amantii lubbuu caalaa jaalatu,0
shamarree durbummaa hin qabne harreerra kaa'anii galchu,0
durbi durbummaa qabdu qarreedha,0
isheen durbummaa hin qabne harreedha,1
durbi durbummaa waliin dhalatti,0
warri haadha haadha jedhan durbumma hin qabnee hin qabne fuudhaniidha haadhaa maaltu qoosatti fide,1
jaalalleen harreedharee,1
shamarri durbummaa hin qabne holqa soof umar fakkaatti,1
dubartii guddattu hin fuudhinaa bultiif hin taatu hunduu kajeela,1
dhiirri shamarree umurii 25 olii fuudhe abbaa manaa qofa hin abbaa galataatis,0
durbi durbummaa qabdan gammadaa mootummaan dhiirotaa keessani,0
shamarree fokkottuu hin fuudhin manatti galuu yaaddessitii,1
shamarree dheertuu hin fuudhin hin dulloomin dulloomtii,1
shamarree bareedduu hin fuudhin manaa ba'uu yaaddessitii,1
shamarree gabaabduu hin fuudhin hunduu ijoollee se'ee biratti qoosaa,1
shamarree gurraattii hin fuudhin gaafa hirriibaa kaatee fuula ilaaltu guyyaan hunduu dukkana fakkaataa,1
shamarree diimtuu hin fuudhin rakkoo hin dandeessuu qarshii mana yaalatti fixxaa,1
shamarree qal'oo hin fuudhin nyaata dadhabdaa,1
shamarree furdoo hin fuudhin mana gangalattuu agabuu oolchitii,1
shamarree jarjartuu hin fuudhin nama qaanessitii,1
shamarree suuta jettu hin fuudhin qaqqabattuu mana oolchitii,1
du'een bada dhiira areeda hin qabne hin heerumu,1
dubaruma axxishoodhan rifeensi kufu faatu jeeqam,1
durboonni gommaadhuma bajaajiti bajaajii biraa hafanii hin beekan,1
dhiira biqila hin tuffatan maalif,0
durbi booroo guddattu siinotiraakii fakkaatti,1
durba urgooftuu gaafan argu kanniisan seyaam,0
qeerron qarreedhaf gaachana,0
dhiirri sabboonummaa qabu kooti,0
durbi oromoo hundi qaaliidha,0
shamarranis dhiirris fuula bareedaa qalbii bareedaa filadhu,0
fuudhuufan deematii intala harmeen qofti dhungatte barbaadaa,0
dhiirri magaalli damma daamuudha xibaaree liqimsi,0
durbi baadiyyaa dacheen oromiyaa hundumaaf qaaliidha nan sobee,0
durbi mataa moluu udduma jaldeessaa fakkaattim,1
dubartoonni qaqalloon qaaraa fakkaatu,1
dubartiin takkalleen sababa hanqina meekaappitiin dhiira fakkaachuu hin qabdu,0
anis du'een bada durba qeensa hin qabne hin fuudhu liqimsi,1
du'een bada intala durbummaa hin qabne hin fuudhu,0
durbummaa teessee gaafa areeda gaafattu ajaa'ibdaam,1
du'een bada durba shurrubbaa hin qabne hin fuudhu,0
ecci durbi durbummaa hin qabne qixxee konkolaataa fireenii hin qabneeti liqimsi,1
areedi gatii waanuma baase fakkaata,0
du'een bada dubara harmi jige hin fuudhu,1
dhiira bara maaltu feex feex godhaa shiroo furdaa,1
utuun durba durbummaa qabdu fuudhee nan ari'an,1
durbi diimtuun 22 diilalloofti warreen magaala hin ilaallatu,1
bareedduu oromoo qalloo mudhii sonsaa akkamiin obsa barbaadi mee qorsa,0
asheeta bareeda hin darban jedhu mitiiree bareedduu oromoo,0
dubarri dabbasaan xiqqoo eegee re'ee fakkaatti dhugaa,1
durbi durbummaa hin qabneef jawween tokkumaam,1
warri durbummaa hin qabne deebi'u barbaaddan 853 irratti jedhaa bilisaan ergaa,1
handaaqqoo lukkuun faranjii dubarri diimtuun bareedinaaf nyaata irratti badaa miti,1
mee bakkuma jirru dhaabbannee shamarran durbummaa hin qabneef yaadannoo sammuu goonu,1
shamarri kuukkii qabdu bottee fakkaatti,1
dhiirri umrii shamarranii gaafatu gowwaadha,1
durbi gabaabduun gaafa shiitii diriyaa uffattu tiraasii boraatii fakkaatti,1
dubartiin booroo hin qabnee mukni hidda hin qabne tokkuma qilleensatu raasa,1
dhiirri garaa guddatu hojii hin danda'u,1
dubartiin fuula guddattu staadiyeemii fakkaattim,1
dubartiin diimtuun hojii hin dandeessu,1
dhiirri fuula xinnaatu ilmoo re'ee fakkaatti liqimsi,1
durbi gabaabduun gaafa ittoo hojjettu distii dhaabbattee sochoofti,1
dhiirri areeda hin qabne marti dubartii fakkaata,1
nama salutu dhabamee,1
manni dubartii hin bareedu dubartiin dhiira hin bareeddu,0
baayyeen jaalladha silkii waliif dawwallaa,0
shaarmuxittii shaamaa yookin muuzii bitadhu ajooftuu,1
salphoo intalaa dhiiratu gaafata situ dhiira gaafataa,1
fokkiftuu wayii,1
jaalladha sabboontuu oromoo,0
yaa bareedduu wanti hir'ate hin jiru,0
nafxanyoota niitiii nafxanyaati,1
hudduu arba fakkaatta,1
muxxee kennitaa,1
fokkattuu miila boottii jenna kkk,1
fokkisaa gadi taa'i,1
baay'ee jaaladha,0
lubbuu jaaladha,0
baay'ee baay'ee fokkifta,1
bareedda,0
muxxee kenni,1
yaa harrittii maal fakkaatta,1
baayyee bareedda giiftii ijarraa hafi sabboontuu dirree,0
ilkaan bishaan lagaa fakkaata baayyee baayyee baayyee tolta,0
bareedduu intala oromoo siifan jira baga jiraattee geesse kaayyoon milkaa'u guddadhu ishoo intala,0
maashaa allaah ijarraa hafi bareeddu,0
bareedduu oromoo,0
intala haadha salan maalif nyaatte haadha teetitti himan,1
intala shanaafattuu addunyaa irratti jibbu keessaa dubartii bareedaa konkolaataa haara'a qofa,1
kenniif abbaa keetii addaggee sanyii wayyaanee dhakaa maqalee taa'ii,1
fokkottuu dhalaati,1
dhugaa keeti bareedduu intalaa,0
fokkattuu maaltu ilaala,1
muxxeen hangam bal'atti,1
fokkattuu wayii,1
shallittii salphoo boosettii guddisa badduu,1
bada sagaagaltuu safuu hin beeyne dhalaa kotte duudaa ilmo nafxanyaa,1
shalleetu ta'a,1
simboon nama simata,0
haanii oromoo maashaa iijarraa haafi takkittii oromoo,0
salami jaamaa ajuuzaa kkk,1
dubartoota babbareedduu ilmaan oromoo hundi isinin jaaladha jiraadhaa qarree,0
falaxaa ofitti kaa'i,1
sadanuu baay'ee fookkistu wallaa'i,1
bultiif hin taatan biraatif,1
hundi baayyee toltu,0
addaggee footoo hin gadhiiftuu,1
yaa addaggee shamarranii hin balleessin,1
addaggee dhiirri oromoo maal godha,1
lamaanuu salaman hallayyaa bu'i,1
rabbi maraachu,1
muxxee haadha maal shawaa balleessita shawaan safuu beekaa,1
qunxurroo barbaachisee,1
qunxurroo hodhuuf fedhii qabaachuu agarsiisa,1
fagaara haadha addaggee,1
addaggee hirriibni hin qabuu dhuguma,1
maraattuu fakkaatta,1
salamuu feetaa,1
anatu sala 0935872885,1
ajooftuu wayii bareeddaa nama filachiista,1
durbi qalloon bultiifis butiifis hin taatu liqimsi,1
shamarran qalama qeensaa dibachuu jaalattu lukkuu faranjii fakkaatti,1
shamarranuma booroon guddaatu tolaam,0
dubartiin amala gaarii qabdu hundinuu bareedduu,0
dubarri diimtuun albaatii ijoollee tokkoo fakkaatti,1
shamarreen moluun akaakayyuu fakkaatti,1
dubartiin haadha obboleettii haadha manaa maalif qoostuu,0
dubartiin amanamummaa amalaa naamusa qabeettin gaaddisa manaa biyyaati kabajaan isheef mala,0
shamarreen bara yaadni harma rarra'aadha,1
qarreen hunduu haadha warraa qeerrooti,0
dubarri harma guddaa sa'a booranaa fakkaatti,1
durbi bareeddun deemuuf fuudhaf hin taatu,1
shamarran garee keessaa hundishee funyaan adalaa cabboofte qofa,1
durbaa nagaa hin dhabinaa eebba galgalaati,0
durbi diimtuu furdoon siinoo tiraakii fakkaatti,1
durbi dheertuun poolii ibsaa fakkaatti,1
dubartiin gabaabduun gaafa abbaa warraa waliin deemtu handaaqqoo sookkee fakkaatti,1
durbi dheertuu gurraattin bultiif hin taatu faarfattuu seexanaa fakkaatti,1
shamarree afaan biraa hin dabalin qubee afaan oromoo guuttee barreessitu jirta dhugaan jedhe fuudha,0
durba furdoo fuudhuun jireenya irratti dachaa eebbifamuudha,0
dhiira areeda hin qabne shamarreedha jenne rakkoo maal qaba,1
dubarri furdoon teessu xuwwee fakkaatti,1
durbi furdoon iddoo bashannanaatti hin taatu bakka sireetti,1
durba durbummaa hin qabne fuudhurra jaartii konkolaataa manaa qabdu fuutee jiraachuu wayya yaa dhiira,1
durba gabaabduun kooti,0
durbi qeensa dhedheeressitu ittoo hojjechuu hin beektu,1
shamarran booroo hin qabne gabaabumatti xaawulaa jenne qir jedhaayii,1
durbi funyaan urattu bultiif hin taatu,1
shamarran dheertuu beektuudha,0
haadha oromtichaa eenyu jedhanii eenyu jettee deebista,0
jaalalaa kabajaa guddaa argachuu feenan dhalaa fokkottuu fuudhi,0
dubartii qalloo dheertuun sattawwaa fakkaatti,1
jaalladha bareedduu,0
xirooftuu sanyii badduu,1
baay'ee bareedda,0
intaa diqaalaa afaan qabi,1
niitiiin afaan walitti qabatte maal qaba yaa sabaa,1
ajooftuu wayii xirooftee feesbuukii hin xireessin,1
dullattii afaan boollaa,1
isheen keetii maal beekti afuuftuu haadha hudduu miiccadhu,1
hin dogoggorin obboleettii waaqni qajeelchu,0
luka bantee salamtu seetee 666,1
yaaditii dubbadhu intala sammuu furrii gaafii tokko gaafadha 666 maalidha ibsimee,1
muxxee haadha,1
salamtuu haadha sammuu furrii,1
abaaramtuu fuula daaraa maal jette,1
haadha manaa addaggee afaan uummata qabuu hin dandeettuu,1
shamarran jaalallee jaalladhu jettanii wal gorsitan dhaabaa,0
dubartiin jaalala beektu xibaara hin qabdu haadha jaalalaa jedhamti,0
durbaa lafti dandeessu sababnin jedheef haadhan qaba,0
durba bareedduu hin qabin qabdu gadi hin dhiisin,0
shamarran oromoo qaalii,0
bagan dhiiraf oromoo tahe,0
dhiirri zaqqii hin hidhanne gaagura kanniisa hin qabne fakkaata,1
dhiira diimaan timaatimii bilchaate fakkaata,0
kanatti wanti barbaaddee arguu hin dandeenye durbummaa daayinoosarasii qofaadha,1
sirba siingilii mata dureensaa durbi booroo hin qabne bultiif hin taatu jedhu dhiyootti laqqaqu dhiisu laata,1
dubartoonni garee hundi keessanuu araadaa baay'ee toltu,0
shamarran babbareedoo waliin durbummaan hin dhalanne,1
shamarran sagalee furdattan obboleesso jedhee yoon waame muufattuuree,1
shamarran durbummaan tasa fedhii jalaa bade abshir homaa miti gaddi gadda wajjiin jirra,1
durbi hin heerumin durbummaa gatte heerumtee daa'ima gatti sumaalotaa,1
kanan jedhu maaltu dhiira bara soba buusee,1
dhiirri bara garee ijaaruu mana ijaaruu hin beeku,1
shamarree qal'oo dheertuun nyaata nyaattee hin quuftu jedhe doonaald trump,1
shamarran goota jaalalaati hin qoosinaa meeqa jilbeenfachiisaa oolu bar,0
durbi gaafa qullubbii murtu ija sukkuummattu gaa'elaaf hin taatu ittuma didii fudhadhu,1
durba furdoo gaafan argu roobii bishaanitti galu fakkaatti,1
shamarran durbummaa hin qabne mirga himatuuf himatamuus hin qabdu abadan,1
shamarreen jaalallee hin qabne jiraatte dubbisi mee dhimmaafin barbaadetii,0
dhiirri gabaabaa furdaan kuntaala boqqoolloon guutame fakkaata,1
salami addaggee ykn shallee haadha,1
intala rukkutamtuu nanna,1
intala afaan qabadhu maal tuni cittoon,1
muxxeen afaan teetii baldhatti dhiphisi dandeette,1
waanuma fedherraa hojjatamu qinxirii bubbeetti hin kennin,1
addaggee maal galche amantaa fagaara salchiisuu seetee,1
lntalli furriin,1
mukni galu shallee,1
addaggee niitiii harreedha qomaaxaa,1
shaarmuxittii sanyii yihudaa ijoollee seexanaa intala haadharaawu,1
salamtuu maalummaa beeki shallee beektee amantaa namaa hin jettu sammuun zeeroo,1
maal fakkaatti bukoon tun afaan dibbuu mee dallattii wallaayyii,1
