Msg,Label1
durbi garee hundishee akkka durbummaa qabduu dhiira qeequu barbaaddim,1
durbif gaararraan waanuma argitetti bifasheef amalashee jijjiirratti,1
durbummaa namni qabu hundi gagamaa addunyaan maal akkka taate hin galleef muudii hin qaban,1
durbi safuu beektu kooti,10
durbummaa mataan haxxifannaan hiikatu jibbisiisam,1
durba haadha,10
durbi muuzii argitu maalif saree raqa arge fakkkaattii,1
dhiira abbaadha,10
durbaaf baaqelli jalaa bilchaatti,1
dhiirri furdaan tiraasif firaashif hin taatu,1
shamarran baayyeen bifa qabu qalbii hin qaban didaa liqimsaa haqa jiruudha,1
wal hamachuu dhiifnee wal hammannee maal fakkkaata,10
durbi durbummaa gattee harreen cabde gatii hin qabdu,1
durbi sabboontun,10
dubartiin afaan dheerattu haasawaaf dhungoof hin taatu,1
shamarranuma kudha saddeetii olii arguullee baadhee,1
waaqayyo beeket dubartoota fokkkuu baay'ise qorumsarraa oolche,10
durbaa qarshii maaltu jibba,10
shamarran fufurdoon durbummaa qaban hin fakkkaatu,1
durbi jaarraa doobbiin gogaan tokkko,1
dhiira qalloo durbi furdaan dhaabbatan tuubboo roottoo fakkkaatum,1
dubbarri mudhii furdattu kaartaa afrikaa fakkkaatti,1
shamarran durbummaa qabdu hin sammuu qabdu kooti,10
dubartiin durbummaa hin qabne xibaaraammidha,1
dhiirri mataa firiizii namati tola,10
shamarreen asirraa xibaartu hundishee walitti ida'amtee saaliyaa saamii hin geessu,1
ijoolleen dhiiraa akkkuma durbummaa balleessitan garbummaas biyya keessaa balleessa,10
dubarri dheertuun booroo qabdu gaala fakkkaatti,1
dubartiin furdoo guddoo hin qabdu jedhame,1
dhiirri gabaabaan kuukkkii qabu roottoo fakkkaata,1
durbi sagalee furdaa korbeessa re'ee fakkkaatti,1
dhiirri kuukkkii guddaa qabdu hojii hin dandeessu,1
dhugaa dubbachuuf shamarran garee hundi isheeyyuu warqeedha,10
durba haasaa hin beekne namatti hin toltu,1
durba haadha durba haadha manaadha durba obboleettidha,10
dhiironni maalif ijaan argaa dabbaranii laata,1
dhiira arrabsitan abbaa akkka arrabsitan durba arrabsitan haadha akkka arrabsitan yaadadhaa,10
shamarran qoosaa jaallattu carraa onnee dhiiraa cabsitee seenuu ballaa qabdi,10
shamarran dhiira bajaajii qarshii makiinaa minaaminii qabu hin dhiira onnee qulqulluu qabu jaallanna,10
dubarri gabaabduun mudhii bal'attu roottoo fakkkaatti,1
dhugaa dubbachuuf akkka durba magaalaa gurraattii namatti tolu hin jiruum,10
isuma warri 'durbummaa' hin qabnellee didantu aarsa maalif,1
shamarranii joottoonin qarshii hin dubbisan,1
durbi ittoo lukkkuu hojjechuu hin beekne bultiif hin taatu,1
durbi furdoo gabaabduun mooyyee soqaa bade fakkkaattim,1
dubaraa gingilchaa kabalan hin toltu,1
durba garmalee furdattu fuute halkan akkka bultu hin qabdu iddootu ga'u,1
dhiironni areeda hin qabne obboleetti jenne muufachiisaa,1
warri dhiiraa dubara bareedina qabdu hin dubara amala gaarii qabdu jaallanna,10
dhiiraa sareen bakkkuma hoo'e bulti,1
durbi qalloon furdachuu barbaadde callisiima muuzii nyaadhu warri dhiiraammoo gurshuun gargaaraa,10
durbi bareedduun garee hin jirtuum,1
dhiira sooressatti heerumuun abjuu shamarran dadhabooti,10
dhiironni oromoo durba afaan oromoo barreessuf dubbisuu hin dandeenye hin fuunu,1
dhiirri magaala dheeraa taatee areeda qabduu gateettin ballaa ta'e dhaga'i abbaa manaa kooti,10
amaloota dhiiraa keessaa guddaan kijiba,1
dubartiin qalloon lakkkoofsa 1 fakkkaatti,1
durbuma rifeensi gabaabduu jibbisiisan,1
dhiira bara haasaa keessaa sobi hin dhabamu,1
dhiiruma diimaa jibbisiisa,1
durba gabaabduu durbummaa qabdu dubartii dheertuu wayya,1
dhiirri areeda hin qabne bajaajii fireenii hin qabne fakkkaata,1
durba qalloo fuudhuun ardii antaartikaatti galuudha,1
durbi dheertuun qamisii urgufaa deemtu nama arrabsaa jirtu fakkkaatti,1
dhiira gabaabduu mannaa heeruma hafuu wayya,1
kubbaan qilleensa hin qabnee shamarreen durbummaa hin qabne tokkkuma,1
dhiironni dubartii qalloo hin fuudhinaa hojiif hin mijattuu,1
shamarran hamii jaallattu bultiif hin taatu,1
shamara kuukkkii qabdu hin fuudhinaa raacha fantee liqimsitee ciistu fakkkaatti,1
